user_id,epoch,budget
7181,1,1047909057395171
12948,1,29940189926599
110,1,110319091463448
4945,1,104996854392290
711,1,41760031362588
8280,1,1017638530236315
12848,1,48752533808982810
349,1,104620600629030
10327,1,113613297426702
11606,1,1022658141331990
12493,1,103257286111608
12475,1,94714707812112
10342,1,113607389571668
10168,1,104618097020533
10426,1,1031918600814258
8211,1,2047516235675047
10394,1,113566943487201
10332,1,113609889048798
6317,1,1020623443007200
248,1,1054934447245538
4722,1,1032631261648829
11500,1,1025640988419296
53,1,571282687684910
11543,1,911133950614131
56,1,1036502352674876
4550,1,140687548781459
127,1,2128693468941646
79,1,2827962636890388
4898,1,1032583750926524
432,1,1048357310731699
1438,1,145232628443019
12816,1,41074919955809693
159,1,2195154393263290
206,1,113074709165809
4384,1,521972505304046
547,1,1051505412505282
5016,1,1050396140423646
12694,1,19190372584257
141,1,111353087564949
5838,1,110140200795016
51,1,1060449822400045
10337,1,114642018349337
6362,1,1020437531485138
1344,1,106478904036004
11741,1,1018983290245897
9589,1,103763847864303
11509,1,996116173032266
10380,1,113568988513944
9372,1,1042972073642635
2995,1,263405168122408
10368,1,113587620979822
390,1,125645224317095
12333,1,242514912487924
13076,1,27779484903523
4867,1,1032459809911816
59,1,1062494849142727
4680,1,848279106906148
7538,1,1047425687437810
10481,1,1030778343478944
38,1,1070404351564678
6332,1,1020596589120680
13,1,16036265739749920860
10089,1,978377115302180
44,1,957795686435840
200,1,109924706993295
366,1,453131878130558
3426,1,156893547962028
332,1,314557389330466
6686,1,1039311061775816
7841,1,126196737388623
12828,1,41255412945868
12808,1,1147991817701324
10391,1,113567170712395
12661,1,157527623935557
209,1,133718222253434946
10343,1,113606935121280
965,1,44100450856991
82,1,1062162274086594
12981,1,17506840467806
12805,1,35256331165195
12525,1,1136671275071459
13090,1,27277523793955
11194,1,530823542708632
152,1,1598972584534770
11643,1,1527352841790332
4936,1,104998506939153
816,1,1054401500882293
12554,1,908872027095710
461,1,103170790108925
2829,1,1052348211405297
12152,1,1001596431565939
12934,1,80740231019962
208,1,112179655038469
12617,1,768083297121708
6670,1,1033393498889283
1584,1,105121415112071
58,1,389108835837320922
207,1,1060104853242441
5175,1,157473870778144706
