day,net_flows,lock_tx_number,unlock_tx_number
2024-11-26 00:00:00.000 UTC,-494609.1714387047,0,39
2024-11-25 00:00:00.000 UTC,-4849.6247,1,4
2024-11-24 00:00:00.000 UTC,6640.6671,2,0
2024-11-23 00:00:00.000 UTC,358,1,0
2024-11-22 00:00:00.000 UTC,-1564.1912926769721,2,2
2024-11-21 00:00:00.000 UTC,29,1,0
2024-11-20 00:00:00.000 UTC,208.0585971984633,6,1
2024-11-19 00:00:00.000 UTC,3109.106467221422,3,0
2024-11-17 00:00:00.000 UTC,391.84839824518775,1,0
2024-11-16 00:00:00.000 UTC,-1565,0,2
2024-11-14 00:00:00.000 UTC,-700,0,1
2024-11-13 00:00:00.000 UTC,12338.916207482649,1,1
2024-11-12 00:00:00.000 UTC,-35386,0,2
2024-11-10 00:00:00.000 UTC,-720,0,1
2024-11-08 00:00:00.000 UTC,-4008.814723313481,4,3
2024-11-07 00:00:00.000 UTC,3550,8,0
2024-11-06 00:00:00.000 UTC,2280,5,0
2024-11-05 00:00:00.000 UTC,-6647.247235219761,4,2
2024-11-04 00:00:00.000 UTC,522.7772658561595,1,1
2024-11-03 00:00:00.000 UTC,-250,0,1
2024-11-02 00:00:00.000 UTC,1643.1644366771907,1,0
2024-11-01 00:00:00.000 UTC,-708.083898839246,0,1
2024-10-31 00:00:00.000 UTC,51999.99999999999,4,0
2024-10-30 00:00:00.000 UTC,6103.7478157962405,11,1
2024-10-29 00:00:00.000 UTC,3103,3,1
2024-10-28 00:00:00.000 UTC,1732.3590446157204,2,0
2024-10-27 00:00:00.000 UTC,3460,2,0
2024-10-26 00:00:00.000 UTC,1306,4,0
2024-10-25 00:00:00.000 UTC,911.3437174652353,3,0
2024-10-24 00:00:00.000 UTC,812.2722534922176,2,0
2024-10-23 00:00:00.000 UTC,53301.806742688204,10,0
2024-10-22 00:00:00.000 UTC,2890.265009416857,3,0
2024-10-21 00:00:00.000 UTC,4975.228972686845,6,2
2024-10-20 00:00:00.000 UTC,15200,5,1
2024-10-19 00:00:00.000 UTC,3442.9971489064146,3,0
2024-10-18 00:00:00.000 UTC,354.72046014353873,4,1
2024-10-17 00:00:00.000 UTC,-65244.65385002931,4,2
2024-10-16 00:00:00.000 UTC,6355.134224674895,5,1
2024-10-15 00:00:00.000 UTC,7626.2844212657,10,1
2024-10-14 00:00:00.000 UTC,16526.40210759356,4,2
2024-10-13 00:00:00.000 UTC,-10134.8770121274,3,3
2024-10-12 00:00:00.000 UTC,-900,0,1
2024-10-11 00:00:00.000 UTC,-345.91459999999995,1,1
2024-10-10 00:00:00.000 UTC,37426.25218420376,7,2
2024-10-09 00:00:00.000 UTC,26766.999999999996,6,2
2024-10-08 00:00:00.000 UTC,2999.8167552473774,1,0
2024-10-07 00:00:00.000 UTC,1338.53,4,0
2024-10-06 00:00:00.000 UTC,363,1,0
2024-10-05 00:00:00.000 UTC,-50,1,1
2024-10-04 00:00:00.000 UTC,195001.25254514444,4,1
2024-10-03 00:00:00.000 UTC,1150,3,2
2024-10-02 00:00:00.000 UTC,2019.73990698,5,2
2024-10-01 00:00:00.000 UTC,406.4632144643971,2,0
2024-09-29 00:00:00.000 UTC,-120,1,2
2024-09-28 00:00:00.000 UTC,101.38215521136541,1,0
2024-09-27 00:00:00.000 UTC,-38942.17140698,6,3
2024-09-26 00:00:00.000 UTC,-902.1417690497242,3,1
2024-09-25 00:00:00.000 UTC,503,5,0
2024-09-24 00:00:00.000 UTC,101.40285988079165,1,0
2024-09-23 00:00:00.000 UTC,1136.39926786,2,0
2024-09-22 00:00:00.000 UTC,100,1,0
2024-09-21 00:00:00.000 UTC,120,1,1
2024-09-20 00:00:00.000 UTC,12120.85413062096,7,0
2024-09-19 00:00:00.000 UTC,300,1,1
2024-09-18 00:00:00.000 UTC,2086.797892406441,4,0
2024-09-17 00:00:00.000 UTC,1250,2,0
2024-09-16 00:00:00.000 UTC,3250,4,0
2024-09-15 00:00:00.000 UTC,2750,3,0
2024-09-14 00:00:00.000 UTC,5650,8,0
2024-09-13 00:00:00.000 UTC,17611.35856828804,29,7
2024-09-12 00:00:00.000 UTC,2402.7774155539105,6,1
2024-09-11 00:00:00.000 UTC,31,3,2
2024-09-10 00:00:00.000 UTC,9426.111763789382,12,3
2024-09-09 00:00:00.000 UTC,5400,7,0
2024-09-08 00:00:00.000 UTC,2360.083898839246,5,0
2024-09-07 00:00:00.000 UTC,2008.7000676921562,2,0
2024-09-06 00:00:00.000 UTC,10966.43179605564,12,0
2024-09-05 00:00:00.000 UTC,27053.984985391733,32,1
2024-09-04 00:00:00.000 UTC,735.6732556406444,3,12
2024-09-03 00:00:00.000 UTC,10271.560834909778,29,31
2024-09-02 00:00:00.000 UTC,-550,3,6
2024-09-01 00:00:00.000 UTC,10214.962287591063,4,1
2024-08-31 00:00:00.000 UTC,1205.8467238437129,4,1
2024-08-30 00:00:00.000 UTC,-765,2,4
2024-08-29 00:00:00.000 UTC,1688.8686858935048,6,2
2024-08-28 00:00:00.000 UTC,38400.770067255966,31,0
2024-08-27 00:00:00.000 UTC,8812.999628753805,15,0
2024-08-26 00:00:00.000 UTC,3618.5329676974084,8,0
2024-08-24 00:00:00.000 UTC,2960.2563369658656,4,1
2024-08-23 00:00:00.000 UTC,12408.135152834775,17,0
2024-08-22 00:00:00.000 UTC,25900,26,0
2024-08-21 00:00:00.000 UTC,11853.719267079588,11,0
2024-08-20 00:00:00.000 UTC,2975,5,0
